CircFlow,FRate,FDensity,SMSpeed,BDepth,BSize,MVis,FPress,DPPress,CPress,FIn,FOut,MRFlow,ActiveGL,ATVolume,RoPen,WoBit,HLoad,WBoPress,BTBR,MPS1,MPS2,MPS3,AMTD,ATMPV,ATMYP,STP,WellDepth
0.9636562,-0.9840339,78.54707,-0.005647119,12641.48,12.25,10.00045,6157.129,1719.526,0,0.9531543,0.9840339,-0.03087961,-0.05995629,199.0228,20.32963,39718.48,310840.1,6957.228,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9636277,-0.983804,78.54707,-0.00564668,12641.48,12.25,10.00045,6157.129,1719.434,0,0.9531537,0.983804,-0.0306503,-0.05978891,199.023,20.32805,39722.67,310836.3,6957.212,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9635705,-0.9833507,78.54707,-0.005645802,12641.48,12.25,10.00045,6157.129,1719.249,0,0.9531526,0.9833507,-0.0301981,-0.05945786,199.0233,20.32489,39731.04,310828.5,6957.181,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9635418,-0.9831272,78.54707,-0.005645363,12641.48,12.25,10.00045,6157.129,1719.157,0,0.9531521,0.9831272,-0.02997516,-0.05929416,199.0235,20.32331,39735.22,310824.7,6957.165,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9634843,-0.9826863,78.54707,-0.005644483,12641.48,12.25,10.00045,6157.131,1718.973,0,0.9531509,0.9826863,-0.02953541,-0.05897038,199.0238,20.32014,39618.21,310816.9,6957.134,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9633676,-0.9826943,78.54707,-0.005643046,12641.48,12.25,10.00045,6157.131,1718.806,0,0.9530905,0.9826943,-0.02960376,-0.05870357,199.0241,20.31496,39626.48,310934.1,6957.133,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9634072,-0.9824668,78.54707,-0.005642364,12641.48,12.25,10.00045,6157.131,1718.722,0,0.9531475,0.9824668,-0.02931931,-0.05854439,199.0242,20.31251,39630.67,310930.2,6957.116,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9633718,-0.9819496,78.54707,-0.005641084,12641.48,12.25,10.00045,6157.131,1718.547,0,0.9531481,0.9819496,-0.02880152,-0.05822903,199.0246,20.3079,39639.04,310922.5,6957.084,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9633318,-0.981487,78.54707,-0.0056399,12641.48,12.25,10.00045,6157.131,1718.368,0,0.9531475,0.981487,-0.02833955,-0.05791821,199.0249,20.30364,39647.39,310914.8,6957.053,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
0.9632885,-0.9810486,78.54707,-0.005638788,12641.48,12.25,10.00045,6157.131,1718.189,0,0.9531467,0.9810486,-0.02790193,-0.05761207,199.0252,20.29964,39655.75,310907,6957.022,12641.48,99.04626,99.04626,59.66036,78.54546,10.00008,20.00008,13798.08,12641.48
